"Country or Area","Year","Value"
"Australia","2015","402159.569954401"
"Australia","2014","393572.068527121"
"Australia","2013","398292.628670892"
"Australia","2012","407140.007741756"
"Australia","2011","404273.380357976"
"Australia","2010","406810.735341211"
"Australia","2009","408752.341875046"
"Australia","2008","404889.724335533"
"Australia","2007","399297.235993707"
"Australia","2006","391363.831983194"
"Australia","2005","385807.299666666"
"Australia","2004","382021.097856811"
"Australia","2003","368784.963868013"
"Australia","2002","361966.480910412"
"Australia","2001","357461.953934675"
"Australia","2000","349983.935704345"
"Australia","1999","343850.3706927"
"Australia","1998","334426.786753151"
"Australia","1997","320558.101680475"
"Australia","1996","312184.873036954"
"Australia","1995","305260.837506971"
"Australia","1994","293928.811862148"
"Australia","1993","289230.53312113"
"Australia","1992","284840.059637688"
"Australia","1991","279807.363232782"
"Australia","1990","278352.790431463"
"Austria","2015","66724.1666438172"
"Austria","2014","64204.3658622949"
"Austria","2013","67956.0866668963"
"Austria","2012","67721.0986557225"
"Austria","2011","70286.7674327363"
"Austria","2010","72547.4169565524"
"Austria","2009","67645.5224019601"
"Austria","2008","73805.1895220851"
"Austria","2007","74028.2859255076"
"Austria","2006","76683.5433936057"
"Austria","2005","79369.2554788467"
"Austria","2004","78164.6407250219"
"Austria","2003","77861.1648416614"
"Austria","2002","72198.8475395648"
"Austria","2001","70456.7211498318"
"Austria","2000","66345.6116305899"
"Austria","1999","65702.1699873215"
"Austria","1998","67054.863878745"
"Austria","1997","67454.1313919441"
"Austria","1996","67674.0126342248"
"Austria","1995","64206.6956659883"
"Austria","1994","61191.0921995077"
"Austria","1993","60788.4845768237"
"Austria","1992","60432.2046233885"
"Austria","1991","65900.4230947548"
"Austria","1990","62292.9743793945"
"Belarus","2015","57023.9896750021"
"Belarus","2014","61316.5297683669"
"Belarus","2013","62099.6076963308"
"Belarus","2012","61533.7160295225"
"Belarus","2011","61806.4619342822"
"Belarus","2010","62300.5902379459"
"Belarus","2009","60078.8916095792"
"Belarus","2008","64487.523642944"
"Belarus","2007","62170.4231825171"
"Belarus","2006","62773.6563411425"
"Belarus","2005","60193.5391394287"
"Belarus","2004","58901.8525625687"
"Belarus","2003","55393.5506336617"
"Belarus","2002","54089.9126100303"
"Belarus","2001","54042.5071305303"
"Belarus","2000","53950.7333144678"
"Belarus","1999","55297.452504949"
"Belarus","1998","57675.4138827622"
"Belarus","1997","61206.6679267803"
"Belarus","1996","57460.377473179"
"Belarus","1995","56211.2835590633"
"Belarus","1994","62619.523758918"
"Belarus","1993","75771.7585361683"
"Belarus","1992","87284.1309363767"
"Belarus","1991","93873.7294717463"
"Belarus","1990","100663.006774195"
"Belgium","2015","100248.512729028"
"Belgium","2014","96539.5626796776"
"Belgium","2013","101748.10775174"
"Belgium","2012","101169.884019002"
"Belgium","2011","103929.666090881"
"Belgium","2010","113350.841814676"
"Belgium","2009","107404.6501998"
"Belgium","2008","120409.810652879"
"Belgium","2007","120352.695222711"
"Belgium","2006","123771.151618991"
"Belgium","2005","125370.731103544"
"Belgium","2004","128761.63825998"
"Belgium","2003","127659.193295197"
"Belgium","2002","126175.065229856"
"Belgium","2001","125849.772321007"
"Belgium","2000","126522.281635247"
"Belgium","1999","124391.596402133"
"Belgium","1998","129974.881871375"
"Belgium","1997","123745.603432746"
"Belgium","1996","129271.933755152"
"Belgium","1995","125762.542934897"
"Belgium","1994","124623.8296926"
"Belgium","1993","118048.466844812"
"Belgium","1992","119130.11671651"
"Belgium","1991","119721.869970208"
"Belgium","1990","120165.963766812"
"Bulgaria","2015","48294.1197385985"
"Bulgaria","2014","45188.1241449291"
"Bulgaria","2013","42595.1505032707"
"Bulgaria","2012","48217.2140713234"
"Bulgaria","2011","53087.2399589082"
"Bulgaria","2010","47757.9855562491"
"Bulgaria","2009","45679.2253981727"
"Bulgaria","2008","53946.0972071838"
"Bulgaria","2007","55613.7710917909"
"Bulgaria","2006","51799.0145066022"
"Bulgaria","2005","50578.5181263743"
"Bulgaria","2004","49499.6323446302"
"Bulgaria","2003","50335.4586199627"
"Bulgaria","2002","46105.2690427491"
"Bulgaria","2001","48863.3616959692"
"Bulgaria","2000","45160.1192961776"
"Bulgaria","1999","46034.2930598902"
"Bulgaria","1998","52466.9821956193"
"Bulgaria","1997","55135.0276670494"
"Bulgaria","1996","57926.6965197726"
"Bulgaria","1995","57522.7355904065"
"Bulgaria","1994","55923.3875494462"
"Bulgaria","1993","57462.6677685813"
"Bulgaria","1992","56821.0567678733"
"Bulgaria","1991","60032.835360511"
"Bulgaria","1990","78650.4732428373"
"Canada","2015","568094.185651606"
"Canada","2014","572728.378778671"
"Canada","2013","574471.570465707"
"Canada","2012","565458.151183674"
"Canada","2011","560003.139386611"
"Canada","2010","553720.587185591"
"Canada","2009","539497.498390706"
"Canada","2008","572155.723262182"
"Canada","2007","590264.059930372"
"Canada","2006","567782.030962083"
"Canada","2005","573598.930243824"
"Canada","2004","583592.303364968"
"Canada","2003","584952.893783255"
"Canada","2002","567472.322395163"
"Canada","2001","562662.30303834"
"Canada","2000","569999.953174393"
"Canada","1999","548640.657033804"
"Canada","1998","532921.227864471"
"Canada","1997","524645.117585381"
"Canada","1996","510267.954078202"
"Canada","1995","495510.747627712"
"Canada","1994","482910.081231519"
"Canada","1993","467716.471538735"
"Canada","1992","468714.922274189"
"Canada","1991","454412.300971918"
"Canada","1990","463496.83929375"
"Croatia","2015","17918.7471681076"
"Croatia","2014","17777.064625009"
"Croatia","2013","18525.4428674374"
"Croatia","2012","19172.4271741567"
"Croatia","2011","20759.4028738916"
"Croatia","2010","21203.737010531"
"Croatia","2009","21965.6352675347"
"Croatia","2008","23746.4749378607"
"Croatia","2007","25017.3664314165"
"Croatia","2006","23684.9350307817"
"Croatia","2005","23451.8458466746"
"Croatia","2004","23005.2348535353"
"Croatia","2003","23355.2211046544"
"Croatia","2002","22031.1266650621"
"Croatia","2001","20943.1099586839"
"Croatia","2000","19789.1217501208"
"Croatia","1999","20215.653226001"
"Croatia","1998","19372.3876004329"
"Croatia","1997","18666.4669752133"
"Croatia","1996","17587.8984604534"
"Croatia","1995","16992.8004192757"
"Croatia","1994","16342.1818762402"
"Croatia","1993","17081.2280227503"
"Croatia","1992","16607.1344792414"
"Croatia","1991","17268.9103457996"
"Croatia","1990","23390.075209187"
"Cyprus","2015","6886.708594959"
"Cyprus","2014","6878.36694203"
"Cyprus","2013","6487.246182027"
"Cyprus","2012","7164.089675548"
"Cyprus","2011","7696.659785268"
"Cyprus","2010","8004.902330822"
"Cyprus","2009","8372.387321774"
"Cyprus","2008","8620.387121741"
"Cyprus","2007","8458.655471444"
"Cyprus","2006","8152.484258125"
"Cyprus","2005","7961.970588964"
"Cyprus","2004","7776.894704745"
"Cyprus","2003","7550.072387808"
"Cyprus","2002","7160.374947603"
"Cyprus","2001","6969.451825788"
"Cyprus","2000","7095.916364675"
"Cyprus","1999","6847.633915972"
"Cyprus","1998","6580.278339717"
"Cyprus","1997","6287.014257389"
"Cyprus","1996","6156.116103961"
"Cyprus","1995","5848.039025196"
"Cyprus","1994","5977.251944602"
"Cyprus","1993","5733.669042128"
"Cyprus","1992","5482.956189661"
"Cyprus","1991","5107.065816881"
"Cyprus","1990","4620.990006785"
"Czech Republic","2015","103769.74995964"
"Czech Republic","2014","102799.183018982"
"Czech Republic","2013","107102.927676262"
"Czech Republic","2012","110621.246230961"
"Czech Republic","2011","114037.616598312"
"Czech Republic","2010","116159.335282287"
"Czech Republic","2009","114684.103592861"
"Czech Republic","2008","122315.93522696"
"Czech Republic","2007","127402.86167641"
"Czech Republic","2006","125889.258712766"
"Czech Republic","2005","124558.948159972"
"Czech Republic","2004","126838.974343263"
"Czech Republic","2003","126092.528162428"
"Czech Republic","2002","122537.795414406"
"Czech Republic","2001","125486.452877947"
"Czech Republic","2000","125788.184179224"
"Czech Republic","1999","115416.465739588"
"Czech Republic","1998","123647.029098221"
"Czech Republic","1997","128839.993288805"
"Czech Republic","1996","132201.919490135"
"Czech Republic","1995","129736.950515374"
"Czech Republic","1994","129159.534077607"
"Czech Republic","1993","135570.106238697"
"Czech Republic","1992","141549.389992872"
"Czech Republic","1991","146035.419293474"
"Czech Republic","1990","161649.591195986"
"Denmark","2015","36449.45794549"
"Denmark","2014","38778.8427956393"
"Denmark","2013","42971.834531724"
"Denmark","2012","41035.1276039105"
"Denmark","2011","45617.5903530911"
"Denmark","2010","50688.8800838814"
"Denmark","2009","50172.0979701798"
"Denmark","2008","52614.3409795455"
"Denmark","2007","56094.5170700087"
"Denmark","2006","60858.0519442678"
"Denmark","2005","52940.4964306881"
"Denmark","2004","56514.047724122"
"Denmark","2003","62048.702021665"
"Denmark","2002","56890.3455608202"
"Denmark","2001","57308.0925395808"
"Denmark","2000","55628.6074491796"
"Denmark","1999","59859.7353274857"
"Denmark","1998","62413.4633317638"
"Denmark","1997","66628.4038505993"
"Denmark","1996","76019.4096452934"
"Denmark","1995","62688.4238638934"
"Denmark","1994","65730.8176103594"
"Denmark","1993","61715.4612680377"
"Denmark","1992","59635.7156892731"
"Denmark","1991","65468.0495471238"
"Denmark","1990","54883.4308034665"
"Estonia","2015","15885.367366025"
"Estonia","2014","18910.2142904198"
"Estonia","2013","19695.5535308317"
"Estonia","2012","17937.9275867199"
"Estonia","2011","19096.9692396658"
"Estonia","2010","19015.1366192516"
"Estonia","2009","14608.9083953874"
"Estonia","2008","17872.0788412886"
"Estonia","2007","20071.6481801059"
"Estonia","2006","16438.4679458414"
"Estonia","2005","17135.8325291439"
"Estonia","2004","17286.1299739341"
"Estonia","2003","17087.8752945114"
"Estonia","2002","15233.7657288505"
"Estonia","2001","15708.5658039754"
"Estonia","2000","15362.5587683307"
"Estonia","1999","15729.2412390103"
"Estonia","1998","16911.5093719441"
"Estonia","1997","18484.0561751133"
"Estonia","1996","18926.7316633636"
"Estonia","1995","18204.8214028851"
"Estonia","1994","19901.5190268954"
"Estonia","1993","19066.3271357855"
"Estonia","1992","24514.8574990295"
"Estonia","1991","34038.0477551984"
"Estonia","1990","37069.2156778056"
"European Union","2015","3498051.29926863"
"European Union","2014","3468722.5425005"
"European Union","2013","3643472.29465016"
"European Union","2012","3729875.36298605"
"European Union","2011","3787017.38739138"
"European Union","2010","3930649.48749056"
"European Union","2009","3812523.0540543"
"European Union","2008","4150740.28645755"
"European Union","2007","4250311.36616572"
"European Union","2006","4296148.70874339"
"European Union","2005","4290134.12604529"
"European Union","2004","4314174.51928752"
"European Union","2003","4302148.76361638"
"European Union","2002","4209833.00627384"
"European Union","2001","4232125.8873122"
"European Union","2000","4162645.81742258"
"European Union","1999","4136339.57023947"
"European Union","1998","4204907.29874732"
"European Union","1997","4212777.51870092"
"European Union","1996","4301704.02362019"
"European Union","1995","4199258.28205072"
"European Union","1994","4158152.71173215"
"European Union","1993","4170872.90275779"
"European Union","1992","4254609.34105406"
"European Union","1991","4397335.67578966"
"European Union","1990","4457424.17140377"
"Finland","2015","44381.6767623873"
"Finland","2014","47756.9782302373"
"Finland","2013","51912.5313841292"
"Finland","2012","51108.8503208103"
"Finland","2011","56541.0296472191"
"Finland","2010","64007.4895212105"
"Finland","2009","55814.4735166127"
"Finland","2008","58604.2527240548"
"Finland","2007","66742.0093695326"
"Finland","2006","68363.8212098245"
"Finland","2005","57031.4716008094"
"Finland","2004","68957.6321018027"
"Finland","2003","72643.7162289246"
"Finland","2002","65044.5524715086"
"Finland","2001","62524.7611145157"
"Finland","2000","57025.6481123972"
"Finland","1999","58880.435623482"
"Finland","1998","59357.3896898732"
"Finland","1997","62703.8166768053"
"Finland","1996","64040.2641932606"
"Finland","1995","58124.3460818794"
"Finland","1994","61693.9732155142"
"Finland","1993","56331.3716708559"
"Finland","1992","54262.9259200163"
"Finland","1991","55207.4888613838"
"Finland","1990","56948.9874052566"
"France","2015","342458.789729817"
"France","2014","337606.248816916"
"France","2013","366904.12529376"
"France","2012","367179.605222582"
"France","2011","367123.870982957"
"France","2010","392652.226141115"
"France","2009","382437.479547654"
"France","2008","400358.200323569"
"France","2007","407115.371988466"
"France","2006","416378.378241081"
"France","2005","428238.061903801"
"France","2004","424626.23935485"
"France","2003","422416.359917971"
"France","2002","415430.451022437"
"France","2001","418891.66055249"
"France","2000","417895.755773386"
"France","1999","419732.479421023"
"France","1998","428788.034344337"
"France","1997","407697.148625754"
"France","1996","414566.605110089"
"France","1995","400796.380967232"
"France","1994","394676.864616085"
"France","1993","395619.025390393"
"France","1992","416291.202310621"
"France","1991","426697.353506857"
"France","1990","401973.821331357"
"Germany","2015","792054.49940764"
"Germany","2014","794828.966594885"
"Germany","2013","835459.056988181"
"Germany","2012","817145.149930466"
"Germany","2011","812577.106305087"
"Germany","2010","832436.646101914"
"Germany","2009","788509.961026392"
"Germany","2008","853591.912090486"
"Germany","2007","850743.081256103"
"Germany","2006","877369.259715191"
"Germany","2005","865865.73187206"
"Germany","2004","886210.543430348"
"Germany","2003","900378.826005938"
"Germany","2002","899162.846935992"
"Germany","2001","915635.782306687"
"Germany","2000","899286.373424758"
"Germany","1999","895338.499581762"
"Germany","1998","922780.32961721"
"Germany","1997","930770.376092236"
"Germany","1996","958370.643280638"
"Germany","1995","938150.071273476"
"Germany","1994","939209.708435664"
"Germany","1993","955980.155832081"
"Germany","1992","965793.227377007"
"Germany","1991","1014121.95372465"
"Germany","1990","1052246.80611304"
"Greece","2015","74962.9437876279"
"Greece","2014","78657.9558603507"
"Greece","2013","81722.5827218284"
"Greece","2012","91417.8032262076"
"Greece","2011","94531.7043449102"
"Greece","2010","97342.9762733883"
"Greece","2009","104340.557537974"
"Greece","2008","111112.523388926"
"Greece","2007","114582.589592127"
"Greece","2006","112464.914773092"
"Greece","2005","113925.068459776"
"Greece","2004","109530.025254038"
"Greece","2003","109083.181048045"
"Greece","2002","105011.400290366"
"Greece","2001","105368.975446001"
"Greece","2000","102982.297759576"
"Greece","1999","97941.6503645224"
"Greece","1998","98624.7712451946"
"Greece","1997","93804.2042552404"
"Greece","1996","89098.5514867251"
"Greece","1995","86945.6414403053"
"Greece","1994","86391.9924532536"
"Greece","1993","84229.4537939372"
"Greece","1992","84915.798120717"
"Greece","1991","83350.9362927273"
"Greece","1990","83375.3637693834"
"Hungary","2015","46777.50168063"
"Hungary","2014","44034.3772620818"
"Hungary","2013","43867.6502877625"
"Hungary","2012","46884.0008331116"
"Hungary","2011","50436.188177592"
"Hungary","2010","52217.0141057501"
"Hungary","2009","51778.1768223678"
"Hungary","2008","57411.4463584172"
"Hungary","2007","58511.057591315"
"Hungary","2006","59876.2552610379"
"Hungary","2005","60487.6965797151"
"Hungary","2004","60408.3553229296"
"Hungary","2003","61930.7222447264"
"Hungary","2002","59155.8471428734"
"Hungary","2001","60164.6936683252"
"Hungary","2000","58544.6874973098"
"Hungary","1999","61820.9972934693"
"Hungary","1998","61340.5317467691"
"Hungary","1997","61749.2011523157"
"Hungary","1996","63169.7897875688"
"Hungary","1995","61607.782146385"
"Hungary","1994","61876.0636145633"
"Hungary","1993","63534.0872797298"
"Hungary","1992","62402.1220795342"
"Hungary","1991","69769.8253972574"
"Hungary","1990","73447.8549088152"
"Iceland","2015","3368.99759718393"
"Iceland","2014","3295.55703432052"
"Iceland","2013","3341.25354326947"
"Iceland","2012","3330.87252240421"
"Iceland","2011","3337.1090142627"
"Iceland","2010","3437.18994076467"
"Iceland","2009","3576.29887722906"
"Iceland","2008","3618.33464251734"
"Iceland","2007","3303.2644608693"
"Iceland","2006","3038.11009137422"
"Iceland","2005","2861.32209791004"
"Iceland","2004","2927.87491957801"
"Iceland","2003","2856.28921523331"
"Iceland","2002","2864.75318910252"
"Iceland","2001","2772.61483940489"
"Iceland","2000","2767.86023945953"
"Iceland","1999","2715.27015919814"
"Iceland","1998","2509.03903715905"
"Iceland","1997","2500.49666005119"
"Iceland","1996","2413.09802401577"
"Iceland","1995","2322.72136903976"
"Iceland","1994","2285.78567142841"
"Iceland","1993","2341.93068773858"
"Iceland","1992","2213.90440919414"
"Iceland","1991","2087.50125254421"
"Iceland","1990","2158.07706115323"
"Ireland","2015","38392.8361380734"
"Ireland","2014","36633.0529795276"
"Ireland","2013","37122.8385534867"
"Ireland","2012","38144.1099115425"
"Ireland","2011","37964.951186798"
"Ireland","2010","41630.0579018683"
"Ireland","2009","42068.7165549029"
"Ireland","2008","47251.6095121114"
"Ireland","2007","47576.059719673"
"Ireland","2006","47485.3321152437"
"Ireland","2005","48027.6880816135"
"Ireland","2004","46118.2965451644"
"Ireland","2003","45627.6439123223"
"Ireland","2002","46027.0600181152"
"Ireland","2001","47557.0890396975"
"Ireland","2000","45192.8744959565"
"Ireland","1999","42375.2727881547"
"Ireland","1998","40648.0895318431"
"Ireland","1997","38750.7450742686"
"Ireland","1996","37409.633251204"
"Ireland","1995","35793.1914186705"
"Ireland","1994","34770.7527746142"
"Ireland","1993","33647.9491985452"
"Ireland","1992","33416.6820361853"
"Ireland","1991","33580.651162644"
"Ireland","1990","32840.6967661346"
"Italy","2015","357198.769264586"
"Italy","2014","347070.716209025"
"Italy","2013","362936.245385635"
"Italy","2012","390325.029660336"
"Italy","2011","412905.685836611"
"Italy","2010","425303.896320264"
"Italy","2009","416138.246505604"
"Italy","2008","466576.964630755"
"Italy","2007","478715.388608802"
"Italy","2006","487134.637294335"
"Italy","2005","491570.498428773"
"Italy","2004","492748.282576053"
"Italy","2003","488269.075325325"
"Italy","2002","474570.958541028"
"Italy","2001","472542.144073868"
"Italy","2000","466240.553791154"
"Italy","1999","460709.35645879"
"Italy","1998","456103.10252951"
"Italy","1997","444462.846432007"
"Italy","1996","440684.274672417"
"Italy","1995","447513.431096761"
"Italy","1994","421453.798002279"
"Italy","1993","428904.721256187"
"Italy","1992","435264.502022012"
"Italy","1991","434881.45052934"
"Italy","1990","434967.842177973"
"Japan","2015","1225239.49111037"
"Japan","2014","1266601.39821891"
"Japan","2013","1313686.00549217"
"Japan","2012","1298157.56639624"
"Japan","2011","1263816.16956431"
"Japan","2010","1215010.75441298"
"Japan","2009","1164685.29230358"
"Japan","2008","1237290.8457312"
"Japan","2007","1321713.43553918"
"Japan","2006","1287098.99771203"
"Japan","2005","1307693.19198736"
"Japan","2004","1300190.16272767"
"Japan","2003","1301102.94833451"
"Japan","2002","1296054.66216174"
"Japan","2001","1259003.58307924"
"Japan","2000","1275777.1265199"
"Japan","1999","1254575.00852717"
"Japan","1998","1219612.01504797"
"Japan","1997","1254568.18572009"
"Japan","1996","1256698.02396881"
"Japan","1995","1243848.87088995"
"Japan","1994","1230224.6980632"
"Japan","1993","1168886.54086994"
"Japan","1992","1175768.63716928"
"Japan","1991","1165634.62035365"
"Japan","1990","1157164.51034908"
"Latvia","2015","7239.363100877"
"Latvia","2014","7151.01047282125"
"Latvia","2013","7350.38365061817"
"Latvia","2012","7519.14115039272"
"Latvia","2011","7799.31207106946"
"Latvia","2010","8529.66310889783"
"Latvia","2009","7438.7569636903"
"Latvia","2008","8174.32777104653"
"Latvia","2007","8610.90113386621"
"Latvia","2006","8292.89710080422"
"Latvia","2005","7790.91944000907"
"Latvia","2004","7713.1886539039"
"Latvia","2003","7706.76843602812"
"Latvia","2002","7511.83945346466"
"Latvia","2001","7484.2579024786"
"Latvia","2000","7072.95538589663"
"Latvia","1999","7711.82264625281"
"Latvia","1998","8303.07756210045"
"Latvia","1997","8680.27912566435"
"Latvia","1996","9220.44964931251"
